algorithm,run_id,mean_reward,std_reward,mean_fraud_caught,mean_fraud_missed,mean_steps,learning_rate,gamma,num_episodes
REINFORCE,1,32.09474999999999,7.703981237808148,5.7,0.1,40.4,0.001,0.99,500
REINFORCE,2,16.663649999999997,16.07808863803468,4.1,0.2,36.6,0.0005,0.99,500
REINFORCE,3,-1.4949999999999992,5.660388679233963,3.1,0.0,20.0,0.005,0.99,500
REINFORCE,4,-8.095000000000002,5.366563145999496,2.0,0.0,20.0,0.001,0.995,500
REINFORCE,5,55.65509999999998,28.314719556972467,7.7,0.9,69.6,0.001,0.95,500
REINFORCE,6,-2.6950000000000007,9.840731680114036,2.9,0.0,20.0,0.001,0.99,1000
REINFORCE,7,-0.8950000000000002,11.320777358467925,3.2,0.0,20.0,0.0001,0.99,500
REINFORCE,8,-0.8950000000000002,10.665833300778706,3.2,0.0,20.0,0.01,0.98,500
REINFORCE,9,0.3050000000000005,4.8,3.4,0.0,20.0,0.0003,0.99,750
REINFORCE,10,39.31069999999998,23.917398151972968,8.1,2.2,74.8,0.0007,0.995,600
