run_id,mean_reward,std_reward,mean_fraud_caught,mean_fraud_missed,learning_rate,gamma,batch_size,buffer_size,learning_starts,target_update_interval,exploration_fraction,exploration_final_eps,total_timesteps
1,224.425,19.49076704493696,14.1,0.0,0.001,0.99,32,10000,1000,500,0.1,0.05,50000
2,202.225,14.163685960935446,11.7,0.0,0.0005,0.99,32,10000,1000,500,0.1,0.05,50000
3,226.225,33.2025601422541,14.3,0.0,0.001,0.995,32,10000,1000,500,0.1,0.05,50000
4,226.225,39.033447195962594,14.3,0.0,0.001,0.99,64,10000,1000,500,0.1,0.05,50000
5,226.225,33.68694108998322,14.3,0.0,0.001,0.99,32,50000,1000,500,0.1,0.05,50000
6,214.525,38.18376618407357,13.0,0.0,0.001,0.99,32,10000,1000,500,0.3,0.1,50000
7,221.725,37.92835351026986,13.8,0.0,0.001,0.99,32,10000,1000,250,0.1,0.05,50000
8,221.725,25.709142342754255,13.8,0.0,0.001,0.99,32,10000,500,500,0.1,0.05,50000
9,215.425,28.87022687822179,13.1,0.0,0.001,0.99,32,10000,1000,500,0.05,0.02,50000
10,203.325,30.996128790544144,11.8,0.0,0.005,0.99,16,10000,1000,500,0.1,0.05,50000
