algorithm,run_id,mean_reward,std_reward,mean_fraud_caught,mean_fraud_missed,mean_steps,learning_rate,gamma,num_episodes
REINFORCE,1,148.53485,13.813564826014323,13.9,0.2,99.8,0.001,0.99,500
REINFORCE,2,142.525,6.767569726275451,12.7,0.0,100.0,0.0005,0.99,500
REINFORCE,3,0.3050000000000002,9.748846085563152,3.4,0.0,20.0,0.005,0.99,500
REINFORCE,4,133.325,30.37038030713478,12.2,0.6,100.0,0.001,0.995,500
REINFORCE,5,141.125,26.15033460588986,13.0,0.4,100.0,0.001,0.95,500
REINFORCE,6,142.48975000000002,19.58724541793716,14.2,0.5,98.6,0.001,0.99,1000
REINFORCE,7,-11.094999999999999,4.024922359499622,1.5,0.0,20.0,0.0001,0.99,500
REINFORCE,8,-7.494999999999999,10.54703749874817,2.1,0.0,20.0,0.01,0.98,500
REINFORCE,9,102.82994999999997,36.67887471723335,10.8,1.8,99.9,0.0003,0.99,750
REINFORCE,10,136.10234999999997,23.054153578097377,13.2,0.6,98.3,0.0007,0.995,600
